category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
High Tech Tools,sillage,0.0,0.0,1.0,1.0,1.0,0.0,0.6931471805599453
High Tech Tools,longevity,2.0,10.0,19.0,31.0,0.6129032258064516,0.06451612903225806,1.9005648499224306
High Tech Tools,fragrance,7.0,10.0,40.0,57.0,0.7017543859649122,0.12280701754385964,2.350782795579506
High Tech Tools,price,246.0,128.0,594.0,968.0,0.6136363636363636,0.25413223140495866,2.472045542291309
High Tech Tools,packaging,57.0,58.0,211.0,326.0,0.647239263803681,0.17484662576687116,2.735134559258212
High Tech Tools,finish,4.0,10.0,43.0,57.0,0.7543859649122807,0.07017543859649122,2.7781978493212343
High Tech Tools,hydration,13.0,11.0,80.0,104.0,0.7692307692307693,0.125,2.9982244563514815
High Tech Tools,irritation,20.0,40.0,183.0,243.0,0.7530864197530864,0.0823045267489712,3.687400908324247
High Tech Tools,texture,137.0,194.0,1025.0,1356.0,0.7558997050147492,0.10103244837758112,4.7235782551131
High Tech Tools,effectiveness,123.0,168.0,1130.0,1421.0,0.7952146375791695,0.08655876143560873,5.144713826626128
Lip Balms & Treatments,sillage,0.0,0.0,2.0,2.0,1.0,0.0,1.0986122886681098
Lip Balms & Treatments,ingredients,756.0,573.0,1859.0,3188.0,0.5831242158092849,0.2371392722710163,2.791220615342564
Lip Balms & Treatments,irritation,125.0,66.0,472.0,663.0,0.7119155354449472,0.1885369532428356,3.401061698142266
Lip Balms & Treatments,longevity,109.0,223.0,654.0,986.0,0.6632860040567952,0.1105476673427992,3.8109484497882837
Lip Balms & Treatments,packaging,605.0,912.0,2494.0,4011.0,0.6217900772874595,0.15083520319122412,3.907533853556612
Lip Balms & Treatments,price,1708.0,1766.0,5703.0,9177.0,0.6214449166394247,0.18611746758199849,3.972173428881371
Lip Balms & Treatments,effectiveness,596.0,799.0,4005.0,5400.0,0.7416666666666667,0.11037037037037037,5.425574632707624
Lip Balms & Treatments,hydration,1209.0,1707.0,7220.0,10136.0,0.7123125493291239,0.11927782162588793,5.470121120108879
Lip Balms & Treatments,fragrance,1389.0,2429.0,8611.0,12429.0,0.692815190280795,0.11175476707699734,5.478161077197953
Lip Balms & Treatments,texture,2697.0,3920.0,17303.0,23920.0,0.7233695652173913,0.11275083612040133,6.156570671611904
Masks,sillage,2.0,1.0,5.0,8.0,0.625,0.25,0.8239592165010823
Masks,longevity,18.0,58.0,187.0,263.0,0.7110266159695817,0.06844106463878327,3.5830243286377463
Masks,packaging,549.0,743.0,2746.0,4038.0,0.6800396235760278,0.13595839524517087,4.517915814015062
Masks,price,1285.0,1577.0,6342.0,9204.0,0.6890482398956975,0.13961321164710996,5.014969370673069
Masks,fragrance,1419.0,2007.0,7257.0,10683.0,0.6793035664139286,0.13282785734344285,5.069383321946446
Masks,ingredients,771.0,787.0,5130.0,6688.0,0.7670454545454546,0.1152811004784689,5.74088360051602
