category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
Cleansers,effectiveness,1197.0,2870.0,17458.0,21525.0,0.8110569105691057,0.055609756097560976,7.537108940965761
Cleansers,application,374.0,936.0,7288.0,8598.0,0.8476389858106537,0.04349848802046988,7.285031387762845
Cleansers,ingredients,4260.0,4998.0,33142.0,42400.0,0.7816509433962264,0.10047169811320755,7.257915286248352
Cleansers,texture,7525.0,12379.0,55060.0,74964.0,0.7344858865588816,0.10038151646123472,7.117679906164562
Cleansers,hydration,1489.0,2615.0,13536.0,17640.0,0.7673469387755102,0.08441043083900227,6.677740210621871
Cleansers,price,2535.0,3913.0,15678.0,22126.0,0.7085781433607521,0.1145710928319624,5.94277553098996
Cleansers,fragrance,4134.0,7338.0,24245.0,35717.0,0.6788084105607973,0.11574320351653275,5.9028434460434305
Cleansers,irritation,1532.0,1261.0,8745.0,11538.0,0.7579303172126886,0.1327786444791125,5.847348594822078
Cleansers,packaging,2601.0,4596.0,14393.0,21590.0,0.6666512274201019,0.1204724409448819,5.450881679451337
Cleansers,finish,279.0,477.0,2359.0,3115.0,0.7573033707865169,0.08956661316211878,5.371478409804343
Eye Care,application,740.0,2079.0,11201.0,14020.0,0.7989300998573466,0.052781740370898715,7.124456950190282
Eye Care,texture,2648.0,7306.0,28306.0,38260.0,0.7398327234709879,0.06921066387872452,7.076528963095713
Eye Care,effectiveness,1066.0,2549.0,9833.0,13448.0,0.7311867935752528,0.07926829268292683,6.197567557091319
Eye Care,hydration,1144.0,2878.0,9188.0,13210.0,0.6955336866010599,0.0866010598031794,5.778043011597386
Eye Care,fragrance,436.0,1527.0,4378.0,6341.0,0.6904273773852705,0.06875887084056143,5.44267635262537
Eye Care,ingredients,643.0,953.0,3762.0,5358.0,0.7021276595744681,0.12000746547219111,4.998394064231885
Eye Care,packaging,1167.0,2008.0,5561.0,8736.0,0.6365613553113553,0.13358516483516483,4.564670967530887
Eye Care,price,1470.0,2072.0,5311.0,8853.0,0.5999096351519259,0.16604540833615725,3.9432290906647354
Eye Care,finish,133.0,261.0,770.0,1164.0,0.6615120274914089,0.11426116838487972,3.8638517569947357
Eye Care,longevity,33.0,105.0,269.0,407.0,0.6609336609336609,0.08108108108108109,3.4856487792613806
